Code NAF|Définition|Groupe 
2370Z|taille, façonnage et finissage de pierres|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2391Z|fabrication de produits abrasifs|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2399Z|fabrication d’autres produits minéraux non métalliques n.c.a.|Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
2711Z|fabrication de moteurs, génératrices et transformateurs électriques|Fabrication d’équipements électriques
2712Z|fabrication de matériel de distribution et de commande électrique|Fabrication d’équipements électriques
2720Z|fabrication de piles et d’accumulateurs électriques|Fabrication d’équipements électriques
2731Z|fabrication de câbles de fibres optiques|Fabrication d’équipements électriques
2732Z|fabrication d’autres fils et câbles électroniques ou électriques|Fabrication d’équipements électriques
2733Z|fabrication de matériel d’installation électrique|Fabrication d’équipements électriques
2740Z|fabrication d’appareils d’éclairage électrique|Fabrication d’équipements électriques
2751Z|fabrication d’appareils électroménagers|Fabrication d’équipements électriques
2752Z|fabrication d’appareils ménagers non électriques|Fabrication d’équipements électriques
2790Z|fabrication d’autres matériels électriques|Fabrication d’équipements électriques
1610A|sciage et rabotage du bois, hors imprégnation|Travail du bois, industries du papier et imprimerie
1610B|imprégnation du bois|Travail du bois, industries du papier et imprimerie
1621Z|fabrication de placage et de panneaux de bois|Travail du bois, industries du papier et imprimerie
1622Z|fabrication de parquets assemblés|Travail du bois, industries du papier et imprimerie
1623Z|fabrication de charpentes et d’autres menuiseries|Travail du bois, industries du papier et imprimerie
1624Z|fabrication d’emballages en bois|Travail du bois, industries du papier et imprimerie
1629Z|fabrication d’objets divers en bois ; fabrication d’objets en liège, vannerie et sparterie|Travail du bois, industries du papier et imprimerie
1711Z|fabrication de pâte à papier|Travail du bois, industries du papier et imprimerie
1712Z|fabrication de papier et de carton|Travail du bois, industries du papier et imprimerie
1721A|fabrication de carton ondulé|Travail du bois, industries du papier et imprimerie
1721B|fabrication de cartonnages|Travail du bois, industries du papier et imprimerie
1721C|fabrication d’emballages en papier|Travail du bois, industries du papier et imprimerie
1722Z|fabrication d’articles en papier à usage sanitaire ou domestique|Travail du bois, industries du papier et imprimerie
1723Z|fabrication d’articles de papeterie|Travail du bois, industries du papier et imprimerie
1724Z|fabrication de papiers peints|Travail du bois, industries du papier et imprimerie
1729Z|fabrication d’autres articles en papier ou en carton|Travail du bois, industries du papier et imprimerie
1310Z|préparation de fibres textiles et filature|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1320Z|tissage|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1330Z|ennoblissement textile|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1391Z|fabrication d’étoffes à mailles|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1392Z|fabrication d’articles textiles, sauf habillement|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1393Z|fabrication de tapis et moquettes|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1394Z|fabrication de ficelles, cordes et filets|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1395Z|fabrication de non-tissés, sauf habillement|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1396Z|fabrication d’autres textiles techniques et industriels|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1399Z|fabrication d’autres textiles n.c.a.|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1411Z|fabrication de vêtements en cuir|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1412Z|fabrication de vêtements de travail|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1413Z|fabrication de vêtements de dessus|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1414Z|fabrication de vêtements de dessous|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1419Z|fabrication d’autres vêtements et accessoires|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
