siret,lng,lat,siren,RH,NAF,Activité,Groupe
25210714900012,5.2737713,47.37586,252107149,4,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
24210040200021,4.791359,47.81646,242100402,2,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
41003460701175,5.0342135,47.351482,410034607,2,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
25210946700016,4.6293473,47.632473,252109467,2,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
25210795800016,4.5250673,47.24583,252107958,4,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
51061105600183,2.399922,48.862217,510611056,75,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
25210735400018,5.450071,47.22997,252107354,2,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
20004768600015,5.142158,47.39997,200047686,2,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
51061105600159,2.3109415,48.881496,510611056,75,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
41003460701571,5.389472,47.1945,410034607,4,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
43889242400013,2.2670348,48.852066,438892424,2,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
51061105600233,2.3780606,48.83104,510611056,350,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
25210772700023,5.355369,47.211216,252107727,2,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
33937998404051,5.271515,47.369137,339379984,75,36.00Z,"captage, traitement et distribution d’eau","Production et distribution d’électricité, de gaz et d’eau : gestion des déchets"
55212181600110,5.2120104,47.132084,552121816,35,11.06Z,fabrication de malt,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
42228883700020,5.2145367,47.129333,422288837,8,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
43394803100029,2.3611758,48.876286,433948031,2,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
82434634000022,2.3170884,48.8315,824346340,4,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
78877098000019,2.384554,48.8982,788770980,4,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
84750008900010,2.3473475,48.894688,847500089,2,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
42227668300030,2.3407753,48.872032,422276683,15,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
44522310000014,5.0032887,46.984585,445223100,4,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
53797773800021,5.061023,47.244717,537977738,2,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
50372936000019,2.3267457,48.897305,503729360,4,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
56203662400129,2.357848,48.832157,562036624,35,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
49501374000040,4.5268397,47.68067,495013740,15,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
39893275600016,4.860017,47.017895,398932756,4,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
43184876100018,4.3213406,47.61836,431848761,2,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
44358713400018,5.345732,47.202404,443587134,4,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
79020574400010,5.093226,47.316128,790205744,0,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
83536960400011,2.2769563,48.86346,835369604,2,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
83053145500012,2.3165925,48.873055,830531455,15,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
81526188800011,2.373952,48.878002,815261888,2,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
82227049200017,2.3935661,48.87204,822270492,2,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
79322120100023,5.175437,47.276943,793221201,2,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
83098886100019,2.3417196,48.86205,830988861,35,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
87879884200018,2.4005232,48.867775,878798842,2,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
39537235200058,5.065182,47.34258,395372352,15,33.20A,installation de structures métalliques chaudronnées et de tuyauterie,Autres industries manufacturières : réparation et installation de machines et d’équipements
62282003300075,4.693859,47.147133,622820033,35,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
41940756400014,5.133554,47.287987,419407564,4,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
80518745700017,4.5677023,47.84636,805187457,4,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
83987172000018,2.2911198,48.8642,839871720,0,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
52971939500020,5.0586023,47.446316,529719395,0,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
81877386300019,5.0764356,47.405846,818773863,2,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
34950767300045,2.303156,48.881767,349507673,2,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
34069867900016,4.577301,47.866383,340698679,4,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
53144506200015,2.3426335,48.8771,531445062,2,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
47959533200012,5.263054,47.223152,479595332,15,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
50381418800028,5.185535,47.32523,503814188,8,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
33507455500020,5.1500793,47.29402,335074555,15,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
53952522000049,2.407002,48.866753,539525220,2,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
83987172000026,2.3033347,48.86902,839871720,35,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
75345800900028,5.015474,47.290337,753458009,4,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
43382298800013,5.199652,47.580463,433822988,35,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
79160217000015,5.0719824,47.40304,791602170,4,16.23Z,fabrication de charpentes et d’autres menuiseries,"Travail du bois, industries du papier et imprimerie"
30255875400024,4.4016137,47.886578,302558754,0,11.02A,fabrication de vins effervescents,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
72572048600028,4.853973,46.99634,725720486,150,11.02A,fabrication de vins effervescents,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
32469622800034,4.961335,47.129482,324696228,35,11.02A,fabrication de vins effervescents,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
34348487900014,4.8584223,47.01619,343484879,150,11.02A,fabrication de vins effervescents,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
51572008400018,4.819215,47.063606,515720084,8,11.02A,fabrication de vins effervescents,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
1655086500063,4.574316,47.256878,16550865,2,23.63Z,fabrication de béton prêt à l’emploi,Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
94555054901632,2.3081768,48.89618,945550549,4,23.63Z,fabrication de béton prêt à l’emploi,Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
53552055500058,5.099732,47.336426,535520555,4,23.63Z,fabrication de béton prêt à l’emploi,Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
1655086500014,5.096251,47.334595,16550865,35,23.63Z,fabrication de béton prêt à l’emploi,Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
42984409500019,5.1712723,47.309517,429844095,35,23.63Z,fabrication de béton prêt à l’emploi,Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
1655086500121,4.959882,47.130325,16550865,2,23.63Z,fabrication de béton prêt à l’emploi,Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
41481504300560,2.398102,48.89176,414815043,8,23.63Z,fabrication de béton prêt à l’emploi,Fabrication de produits en caoutchouc et en plastique ainsi que d’autres produits minéraux non métalliques
